State,EV-Eisenh.,EV-Steven.,Eisenh.,Steven.,Other
Alabama,0,11,149231,275075,1814
Arizona,4,0,152042,108528,0
Arkansas,0,8,177155,226300,1345
California,32,0,2897310,2197548,46991
Colorado,6,0,379782,245504,4817
Connecticut,8,0,611012,481649,4250
Delaware,3,0,90059,83315,651
Florida,10,0,544036,444950,351
Georgia,0,12,198979,456823,1
Idaho,4,0,180707,95081,466
Illinois,27,0,2457327,2013920,9811
Indiana,13,0,1136259,801530,17536
Iowa,10,0,808906,451513,8354
Kansas,8,0,616302,273296,6568
Kentucky,0,10,495029,495729,2390
Louisiana,0,10,306925,345027,0
Maine,5,0,232353,118806,627
Maryland,9,0,499424,395337,7313
Massachusetts,16,0,1292325,1083525,7548
Michigan,20,0,1551529,1230657,16406
Minnesota,11,0,763211,608458,7814
Mississippi,0,8,112966,172566,0
Missouri,13,0,959429,929830,2803
Montana,4,0,157394,106213,1430
Nebraska,6,0,421603,188057,0
Nevada,3,0,50502,31688,0
New Hampshire,4,0,166287,106663,0
New Jersey,16,0,1374613,1015902,29039
New Mexico,4,0,132170,105661,777
New York,45,0,3952815,3104601,70825
North Carolina,0,14,558107,652803,0
North Dakota,4,0,191712,76694,1721
Ohio,25,0,2100391,1600367,0
Oklahoma,8,0,518045,430939,0
Oregon,6,0,420815,270579,3665
Pennsylvania,32,0,2415789,2146269,18911
Rhode Island,4,0,210935,203293,270
South Carolina,0,8,168082,173004,0
South Dakota,4,0,203857,90426,0
Tennessee,11,0,446147,443710,2696
Texas,24,0,1102878,969228,3840
Utah,4,0,194190,135364,0
Vermont,3,0,109717,43355,485
Virginia,12,0,349037,268677,1975
Washington,9,0,599107,492845,10756
West Virginia,0,8,419970,453578,0
Wisconsin,12,0,979744,622175,5451
Wyoming,3,0,81047,47934,270
