State,EV-McKinl.,EV-Bryan,McKinl.,Bryan,Other
Alabama,0,11,55673,130298,8609
Arkansas,0,8,37512,110103,1732
California,8,1,146688,144766,6965
Colorado,0,4,26271,161005,2263
Connecticut,6,0,110285,56740,7365
Delaware,3,0,20450,16574,1432
Florida,0,4,11298,32756,2434
Georgia,0,13,59395,93885,9200
Idaho,0,3,6314,23135,172
Illinois,24,0,607130,465613,18126
Indiana,15,0,323754,305573,7792
Iowa,13,0,289293,223741,8513
Kansas,0,10,159345,171675,3527
Kentucky,12,1,218171,217894,9863
Louisiana,0,8,22037,77175,1834
Maine,6,0,80403,34587,3429
Maryland,8,0,136959,104150,9140
Massachusetts,15,0,278976,105711,16881
Michigan,14,0,293336,237166,15083
Minnesota,9,0,193503,139735,8524
Mississippi,0,9,4819,63355,1417
Missouri,0,17,304940,363667,5299
Montana,0,3,10509,42628,193
Nebraska,0,8,103064,115007,5111
Nevada,0,3,1938,8376,0
New Hampshire,4,0,57444,21650,4576
New Jersey,10,0,221535,133695,15981
New York,36,0,819838,551369,52669
North Carolina,0,11,155122,174408,1807
North Dakota,3,0,26335,20686,370
Ohio,23,0,525991,477497,10807
Oregon,4,0,48779,46739,1896
Pennsylvania,32,0,728300,433228,32827
Rhode Island,4,0,37437,14459,2889
South Carolina,0,9,9313,58801,824
South Dakota,0,4,41042,41225,683
Tennessee,0,12,148683,167168,5052
Texas,0,15,167520,370434,6832
Utah,0,3,13491,64607,21
Vermont,4,0,51127,10640,2080
Virginia,0,12,135379,154708,4587
Washington,0,4,39153,53314,1116
West Virginia,6,0,105379,94480,1898
Wisconsin,12,0,268135,165523,13751
Wyoming,0,3,10072,10861,159
