year,original winner,new winner,flipped votes,total votes,percent votes flipped,flipped states
1948,Truman,Dewey,29294,48794565,0.060%,Illinois:16807;California:8933;Ohio:3554
1952,Eisenh.,Steven.,713453,61552211,1.159%,New Mexico:13255;Maryland:52044;Pennsylvania:134761;Delaware:3373;Virginia:40181;Wyoming:16557;Arizona:21758;Texas:66826;Montana:25591;Rhode Island:3822;Nevada:9408;Utah:29414;Tennessee:1219;Oklahoma:43554;Missouri:14800;Florida:49544;Washington:53132;Massachusetts:104401;New Hampshire:29813
1956,Eisenh.,Steven.,1141553,62021979,1.841%,Wyoming:12510;New Hampshire:43078;Idaho:30556;Maryland:93563;Delaware:9319;South Dakota:24641;Michigan:176875;Arizona:32056;Texas:110331;Florida:81740;Rhode Island:32015;Oregon:38595;Washington:48715;Kentucky:47870;New Mexico:20346;Tennessee:2891;North Dakota:30013;Minnesota:50889;West Virginia:33882;Louisiana:42536;Virginia:59350;Utah:48634;Montana:19348;Oklahoma:44095;Nevada:7705
1960,Kennedy,Nixon,11874,68832483,0.017%,Nevada:1247;New Mexico:1148;Illinois:4430;Hawaii:58;Missouri:4991
1964,Johnson,Goldwa.,2059257,70641539,2.915%,Montana:25608;Tennessee:62992;Florida:21300;New Hampshire:40018;Nebraska:15231;Delaware:22314;Texas:352310;New Mexico:31090;Indiana:129866;Iowa:141942;Virginia:38353;Arkansas:35467;North Dakota:20789;Alaska:10700;Kansas:38725;Wyoming:9361;Nevada:11623;Oregon:109120;South Dakota:16452;Vermont:26593;North Carolina:87648;Utah:19474;California:646385;Oklahoma:53585;Colorado:89629;Idaho:2682
1968,Nixon,Humphr.,135284,73199999,0.185%,Nevada:6296;Alaska:1095;Delaware:3761;Missouri:10245;Wisconsin:30597;New Jersey:30631;Vermont:7444;Ohio:45215
1972,Nixon,McGove.,3174786,77744030,4.084%,Delaware:24038;Iowa:105001;Oregon:46964;California:563125;South Dakota:13266;Wyoming:28054;South Carolina:144579;New York:620848;Maine:47938;Illinois:437354;Minnesota:47962;Maryland:161763;Vermont:24488;Hawaii:33729;New Hampshire:48645;New Mexico:47262;Wisconsin:89629;Washington:134401;Nevada:24868;Connecticut:127633;North Dakota:36863;Rhode Island:12870;Montana:31890;Idaho:59280;Alaska:11192;Michigan:251144
1976,Carter,Ford,9246,81540780,0.011%,Ohio:5559;Hawaii:3687
1980,Reagan,Carter,731189,86509678,0.845%,Pennsylvania:162167;Mississippi:5905;Illinois:188319;Wisconsin:53631;Tennessee:2356;Michigan:126847;Vermont:6354;Arkansas:2562;New York:82730;Louisiana:42201;North Carolina:19692;Delaware:2750;Kentucky:9429;Alabama:8732;Maine:8775;South Carolina:6824;Massachusetts:1915
1984,Reagan,Mondale,2675811,92653233,2.888%,Maine:60993;Vermont:20068;Pennsylvania:178097;California:772246;Rhode Island:7488;Georgia:181048;West Virginia:38680;New Mexico:52667;Massachusetts:35666;Washington:122160;Iowa:48735;Maryland:45992;Nevada:48558;Hawaii:18949;Wisconsin:101477;Delaware:25268;New York:272578;Montana:42855;Wyoming:39936;Tennessee:139250;Alaska:38186;Illinois:310303;Oregon:74611
1988,Bush,Dukakis,537766,91594686,0.587%,Connecticut:36829;Vermont:4279;Delaware:15497;New Mexico:12923;Missouri:41668;Colorado:53363;North Dakota:19411;Maine:31782;South Dakota:9928;Maryland:24932;Pennsylvania:52572;California:176343;Illinois:47500;Montana:10739
1992,Clinton,Bush,284837,104426611,0.273%,Georgia:6858;Kentucky:23964;Louisiana:41293;Ohio:45317;Delaware:11871;New Hampshire:3279;Montana:5151;Colorado:33416;Nevada:6661;Tennessee:46111;New Jersey:39671;Hawaii:21245
1996,Clinton,Dole,575515,96275640,0.598%,Tennessee:22809;Oregon:55745;Florida:151168;Ohio:144170;New Hampshire:24842;Kentucky:6666;Iowa:63808;New Mexico:20373;Nevada:2366;Arizona:15608;Missouri:67960
2000,Bush,Gore,269,105425985,0.00026%,Florida:269
2004,Bush,Kerry,57791,122303590,0.047%,New Mexico:2995;Colorado:49766;Iowa:5030
2008,Obama,McCain,495165,131473705,0.377%,New Hampshire:34147;Virginia:117264;Iowa:73281;Indiana:14196;North Carolina:7089;Florida:118075;Ohio:131113
2012,Obama,Romney,214764,129237642,0.166%,Florida:37155;Virginia:74650;Ohio:83137;New Hampshire:19822
2016,Trump,Clinton,38871,137143218,0.028%,Wisconsin:11375;Michigan:5353;Pennsylvania:22143
2020,Biden,Trump,38260,158590894,0.024%,Arizona:5229;Nevada:16799;Wisconsin:10342;Georgia:5890
